id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,RK0001PMD,Sendok sendok,Endospermum spp,Pohon Muda,icon/young_tree.svg,Not Define,35,16,Hutan Desa Pemandang,mineral,Pembinaan,0.6930078,100.3488987,200.8,9.37,Belum,-,-,Habibi,28/09/2021 08:30,50000,1001.01,-,Chave et al (2014),media/1632792604205.jpg,media/1632792630754.jpg,media/1632792653846.jpg,media/1632792661166.jpg,
2,RK0145PMD,Kelat,Eugenia spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,72,25,Hutan Desa Pemandang,mineral,Pembinaan,0.6927942,100.3486365,133.14,9.4,Belum,-,-,Oon Rexno,29/09/2021 08:26,200000,10940.21,-,Chave et al (2014),media/1632879047388.jpg,media/1632879056075.jpg,media/1632879062137.jpg,media/1632879067541.jpg,
3,RK0146PMD,Damar laut,Shorea spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,78,20,Hutan Desa Pemandang,mineral,Pembinaan,0.6928317,100.34847,191.19,9.41,Belum,-,-,Satria,29/09/2021 08:30,200000,8280.42,-,Chave et al (2014),media/1632879692150.jpg,media/1632879698295.jpg,media/1632879704077.jpg,media/1632879767641.jpg,
4,RK0147PMD,Tempinis,Sloetia elongata,Pohon Dewasa,icon/mature_tree.svg,Not Define,54,12,Hutan Desa Pemandang,mineral,Pembinaan,0.6928417,100.3484533,217.81,9.41,Belum,-,-,Satria ,29/09/2021 08:34,200000,3763.19,-,Chave et al (2014),media/1632879946555.jpg,media/1632880057226.jpg,media/1632880062475.jpg,media/1632880076365.jpg,
5,RK0148PMD,Simesiek,Stemonurus scorpioides,Pohon Dewasa,icon/mature_tree.svg,Not Define,56,24,Hutan Desa Pemandang,mineral,Pembinaan,0.6927517,100.34839,190.54,9.42,Belum,-,-,Oon Rexno,29/09/2021 08:47,200000,1676.23,-,Chave et al (2014),media/1632880346191.jpg,media/1632880355912.jpg,media/1632880364524.jpg,media/1632880372774.jpg,
6,RK0149PMD,Singkawang,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,57,25,Hutan Desa Pemandang,mineral,Pembinaan,0.692705,100.3484401,199.33,9.42,Belum,-,-,Oon Rexno,29/09/2021 08:56,200000,5581.3,-,Chave et al (2014),media/1632880710553.jpg,media/1632880718958.jpg,media/1632880726257.jpg,media/1632880734274.jpg,
7,RK0150PMD,Jao boncah,-,Pohon Dewasa,icon/mature_tree.svg,Not Define,46,18,Hutan Desa Pemandang,mineral,Pembinaan,0.6926519,100.3483333,199.85,9.43,Belum,-,-,Oon Rexno,29/09/2021 09:02,200000,6965.15,-,Brown (1997),media/1632881101595.jpg,media/1632881109846.jpg,media/1632881119699.jpg,media/1632881126843.jpg,
8,RK0151PMD,Tempunik,Artocarpus nitidus,Pohon Dewasa,icon/mature_tree.svg,Not Define,48,15,Hutan Desa Pemandang,mineral,Pembinaan,0.6929724,100.3485427,199.14,9.39,Belum,-,-,Oon Rexno,29/09/2021 09:08,200000,2712.58,-,Chave et al (2014),media/1632881530086.jpg,media/1632881539364.jpg,media/1632881547402.jpg,media/1632881556384.jpg,
9,RK0152PMD,Tempinis,Sloetia elongata,Pohon Dewasa,icon/mature_tree.svg,Not Define,42,12,Hutan Desa Pemandang,mineral,Pembinaan,0.6935631,100.3477697,208.19,9.37,Belum,-,-,Oon Rexno,29/09/2021 09:32,200000,2304.12,-,Chave et al (2014),media/1632882924594.jpg,media/1632882933164.jpg,media/1632882940799.jpg,media/1632882948307.jpg,
10,RK0153PMD,Damar laut,Shorea spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,45,25,Hutan Desa Pemandang,mineral,Pembinaan,0.6934093,100.3474126,205.56,9.4,Belum,-,-,Oon Rexno,29/09/2021 09:39,200000,3518.35,-,Chave et al (2014),media/1632883341547.jpg,media/1632883352136.jpg,media/1632883360600.jpg,media/1632883368238.jpg,
